login.antiy.cn                	192.168.16.250
tools.antiy.cn                	47.91.137.195
www.antiy.cn                  	47.91.137.195
ent.antiy.cn                  	54.251.205.238
fx.antiy.cn                   	54.251.205.238
mail.antiy.cn                 	42.156.235.92
vds.antiy.cn                  	54.251.205.238
tds.antiy.cn                  	54.251.205.238
m.antiy.cn                    	47.91.137.195
wiki.antiy.cn                 	192.168.16.8
apc.antiy.cn                  	112.95.215.207, 114.55.57.80, 120.55.54.59, 123.56.137.45
wtc.antiy.cn                  	47.88.11.58
q.apc.antiy.cn                	112.95.215.207, 114.55.57.80, 120.55.54.59, 123.56.137.45
